thread,first_touch,compact,balanced,scattered,cnv_step,phi_final,matched,runtime_1,runtime_2,runtime_3,runtime_4,runtime_5,runtime_avg
52,False,False,True,False,826,14598.31,True,2.008608,2.039582,2.000012,2.041356,2.002995,2.0185106
54,False,False,True,False,826,14598.31,True,2.001451,1.991125,1.961879,2.000163,1.987565,1.9884366
56,False,False,True,False,826,14598.31,True,1.964825,2.006059,2.040696,1.972324,2.020562,2.0008932
2,False,True,False,False,826,14598.31,True,16.39332,16.32726,16.31623,16.36731,16.26713,16.334250000000004
4,False,True,False,False,826,14598.31,True,8.703516,8.72414,8.706932,8.686735,8.767036,8.7176718
6,False,True,False,False,826,14598.31,True,6.020348,6.097723,6.03043,6.016551,6.009622,6.0349348
8,False,True,False,False,826,14598.31,True,4.815188,4.822743,4.86337,4.818407,4.84484,4.832909599999999
10,False,True,False,False,826,14598.31,True,4.385697,4.481029,4.170777,4.178729,4.145464,4.2723392
12,False,True,False,False,826,14598.31,True,3.820462,3.778853,4.171104,3.838828,4.127918,3.947433
14,False,True,False,False,826,14598.31,True,3.751735,3.679592,3.760646,3.647591,3.606413,3.6891954
16,False,True,False,False,826,14598.31,True,3.6529,3.763335,3.705008,3.544896,3.730131,3.679254
18,False,True,False,False,826,14598.31,True,3.668758,3.711428,3.33539,3.363841,3.412236,3.4983306
20,False,True,False,False,826,14598.31,True,3.340739,3.309389,3.383039,3.315488,3.253601,3.3204512
22,False,True,False,False,826,14598.31,True,3.246301,3.209122,3.22935,3.222745,3.223707,3.226245
24,False,True,False,False,826,14598.31,True,3.191335,3.167208,3.12799,3.145039,3.511445,3.2286034
26,False,True,False,False,826,14598.31,True,3.081228,3.068677,3.136992,3.057904,3.107838,3.0905278000000003
28,False,True,False,False,826,14598.31,True,3.136671,3.156911,3.107784,3.153144,3.127903,3.1364826
30,False,True,False,False,826,14598.31,True,2.740506,2.726399,2.703073,2.746015,2.766473,2.7364932
32,False,True,False,False,826,14598.31,True,2.561688,2.565654,3.020207,2.611176,2.562506,2.6642462
34,False,True,False,False,826,14598.31,True,2.39435,2.399395,2.33957,2.360505,2.430839,2.3849318
36,False,True,False,False,826,14598.31,True,2.603644,2.325339,2.273579,2.326472,2.385532,2.3829132
38,False,True,False,False,826,14598.31,True,2.236237,2.241331,2.247314,2.266182,2.233586,2.24493
40,False,True,False,False,826,14598.31,True,2.299718,2.164868,2.145997,2.171184,2.224834,2.2013202
42,False,True,False,False,826,14598.31,True,2.149031,2.192151,2.155306,2.313712,2.255185,2.213077
44,False,True,False,False,826,14598.31,True,2.051972,2.121063,2.054487,2.08036,2.114998,2.084576
46,False,True,False,False,826,14598.31,True,1.997594,2.033359,2.067829,2.043805,2.084783,2.045474
48,False,True,False,False,826,14598.31,True,2.022095,1.972294,2.027724,1.980614,2.029445,2.0064344
50,False,True,False,False,826,14598.31,True,1.947087,2.05454,2.041263,1.99495,1.998107,2.0071894
52,False,True,False,False,826,14598.31,True,2.017125,1.984594,2.003714,1.942441,1.99088,1.9877508
54,False,True,False,False,826,14598.31,True,2.044574,1.913297,1.968294,1.971482,1.965815,1.9726924
56,False,True,False,False,826,14598.31,True,2.010601,2.038644,1.939785,2.05899,1.931678,1.9959395999999998
